id,area,gender,age,lots_of_jobs,high_PoL,good_city_culture,places_for_visitors,quality_education,public_crisis_support,good_for_kids,places_for_disadvantaged,quality_of_healthcare,safe_at_night,safe_from_accidents,safe_drinking_public_water,air_pollution_problem,good_public_transport,nice_close_places,close_groceries,easy_city_info,gov_address_citizen_issues,admin_transparent,friends_come_over_lots,lots_volunteer_activities,health_score,city_pride,happy_score,education,household_income,occupation,marital_status,religion
4772,NYC,male,32,4,1,2,2,2,3,1,3,1,2,2,2,4,1,3,1,1,3,3,5,3,3,1,2,3,2,10,1,1
4783,NYC,female,25,5,1,5,1,3,5,5,5,3,5,5,5,1,1,3,1,1,5,5,4,5,2,2,4,4,2,10,3,1
4787,NYC,male,41,3,1,1,1,3,3,4,4,3,2,2,2,2,2,3,2,2,3,5,2,3,2,1,2,7,3,5,2,1
4789,NYC,male,33,2,1,1,1,4,5,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,7,4,6,2,8
4808,NYC,male,60,3,1,1,1,4,NA,3,3,2,4,3,2,2,1,3,1,1,4,4,5,1,2,2,1,7,4,5,3,3
4845,NYC,male,35,5,1,3,1,5,3,3,4,4,2,1,1,2,1,1,1,1,4,5,1,1,2,1,1,7,3,9,2,5
4860,NYC,male,77,5,1,4,1,5,5,4,4,5,2,2,1,1,4,1,1,1,2,2,2,1,2,1,2,7,4,6,3,3
4863,NYC,female,22,3,1,1,1,5,1,4,1,4,1,4,2,1,1,1,1,1,2,5,2,1,1,1,2,7,3,3,1,3
4868,NYC,female,60,NA,1,1,1,1,NA,3,3,1,3,3,1,1,2,2,1,1,3,NA,1,1,1,2,3,4,5,6,2,3
4871,NYC,male,23,1,1,1,1,3,4,2,1,1,1,3,1,1,1,1,1,1,3,3,3,1,2,1,1,4,3,2,3,2
4874,NYC,female,38,4,1,4,2,5,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,2,3,2,2,7,3,6,1,2
4876,NYC,male,73,3,1,1,1,3,3,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,3,1,3,7,4,10,4,3
4892,NYC,female,59,2,1,2,1,5,4,3,3,2,2,2,2,3,1,1,1,1,3,2,5,2,1,1,1,7,4,6,2,3
4900,NYC,male,60,3,1,1,1,4,3,3,3,2,2,2,1,3,2,2,2,1,2,2,3,2,2,1,1,7,4,10,2,2
4934,NYC,male,65,3,1,1,1,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,3,3,1,3
4943,NYC,female,25,4,1,2,1,2,2,1,1,3,4,5,4,1,1,1,1,2,3,4,2,2,3,1,2,4,2,3,2,1
4954,NYC,female,26,4,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,6,3,8,1,1
4977,NYC,female,74,NA,5,4,1,2,4,NA,4,2,4,NA,4,2,4,2,2,NA,4,4,2,2,3,1,1,4,2,2,1,1
4989,NYC,male,66,4,1,1,1,3,4,2,4,3,2,2,1,3,2,1,1,1,3,2,4,1,1,1,1,4,3,6,2,7
4995,NYC,female,49,3,1,2,1,5,3,2,3,5,5,2,2,3,3,2,1,2,4,5,2,3,3,2,3,4,3,10,3,7
5001,NYC,male,31,4,1,1,1,3,3,2,2,2,2,1,3,4,1,1,1,2,NA,1,4,2,3,1,1,7,3,10,3,3
5019,NYC,female,57,4,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,7,3,3,2,3
5043,NYC,female,26,2,3,4,1,3,1,2,2,2,4,4,4,4,3,4,4,3,3,3,3,3,2,2,4,3,1,4,1,1
5054,NYC,female,99,1,1,1,1,4,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,6,3,5,1,8
5056,NYC,female,40,4,2,2,1,4,4,2,3,5,2,2,2,1,1,1,1,1,2,2,4,2,1,1,1,7,3,5,1,8
5061,NYC,male,38,2,1,1,1,3,3,4,2,2,2,2,2,2,1,2,1,1,2,4,4,1,1,1,1,7,3,6,1,8
5072,NYC,male,36,5,4,3,2,5,5,5,5,5,5,1,2,2,5,5,5,5,5,5,1,4,2,1,2,6,2,7,2,4
5074,NYC,female,30,3,1,1,1,5,4,3,4,3,2,2,3,1,1,2,1,1,3,2,2,1,1,1,2,7,4,10,2,3
5080,NYC,male,55,3,1,1,1,5,5,5,4,4,5,2,2,2,1,2,4,1,5,5,3,2,1,3,1,7,3,2,2,NA
5105,NYC,male,53,3,1,1,1,5,3,5,3,5,2,2,4,2,4,4,1,3,2,2,1,1,1,3,2,4,3,5,2,8
5109,NYC,male,18,3,3,3,4,2,3,2,2,2,5,5,2,2,2,1,1,2,3,3,3,1,2,2,2,4,NA,8,1,4
5117,NYC,male,19,4,2,1,1,2,2,1,1,2,4,3,1,1,1,1,1,1,2,1,3,1,1,2,2,4,2,10,1,8
5125,NYC,male,51,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,3,6,2,3
5146,NYC,female,60,2,1,1,1,4,2,4,2,2,3,1,1,4,1,1,1,3,4,2,5,1,2,1,2,4,3,6,1,8
5156,NYC,male,40,1,1,1,1,3,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,1,1,1,4,5,6,2,1
5167,NYC,male,56,5,5,1,1,5,3,2,2,2,1,1,2,1,1,1,1,1,2,5,2,5,3,1,1,4,3,10,2,1
5170,NYC,female,60,4,1,2,1,4,3,1,2,3,1,4,2,2,1,4,1,1,5,3,2,2,1,2,1,7,3,5,5,8
5215,NYC,male,45,3,1,2,1,3,4,2,3,3,1,1,1,3,1,3,1,2,3,2,2,2,1,2,2,7,3,3,2,3
5220,NYC,female,20,3,1,3,2,2,3,3,4,3,4,4,4,2,2,3,2,2,2,3,3,3,2,3,2,4,2,3,1,7
5258,NYC,female,47,3,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,3,5,5,4,4,1,1,1,3,1,10,2,1
5264,NYC,female,47,2,1,1,1,4,3,3,3,2,3,4,3,2,1,1,3,1,3,3,2,1,1,2,2,7,3,6,5,8
5281,NYC,male,42,2,1,1,1,4,3,2,2,3,3,4,2,2,1,2,2,1,3,3,2,1,2,2,2,7,4,6,1,2
5283,NYC,female,50,2,1,2,1,4,NA,3,NA,3,3,2,4,1,3,1,1,3,3,NA,4,1,1,2,2,7,3,6,2,2
5287,NYC,female,71,NA,1,1,1,NA,NA,NA,2,3,2,2,2,2,1,NA,1,1,5,5,5,1,3,1,1,7,3,10,4,8
5290,NYC,male,32,4,1,1,1,NA,2,2,2,NA,1,2,2,2,1,2,2,NA,2,2,2,1,2,1,3,6,3,8,4,3
5300,NYC,male,28,4,1,2,3,5,5,5,3,4,2,4,2,1,2,2,2,2,5,5,1,3,3,3,4,7,3,6,1,1
5311,NYC,male,99,4,1,1,1,5,3,1,3,3,3,3,3,1,1,4,3,1,4,4,2,2,1,1,1,6,2,6,2,2
